prop_to_talk,average_points_TFT,average_points_TFT95
0.781,1.607,1.638
0.782,1.596,1.622
0.783,1.594,1.612
0.784,1.587,1.612
0.785,1.589,1.603
0.786,1.582,1.607
0.787,1.581,1.588
0.788,1.587,1.606
0.789,1.576,1.579
0.79,1.58,1.594
0.791,1.576,1.606
0.792,1.581,1.584
0.793,1.567,1.591
0.794,1.56,1.577
0.795,1.557,1.572
0.796,1.56,1.541
0.797,1.558,1.585
0.798,1.555,1.583
0.799,1.55,1.559
0.8,1.557,1.567
0.801,1.542,1.564
0.802,1.542,1.574
0.803,1.545,1.581
0.804,1.536,1.562
0.805,1.536,1.542
0.806,1.539,1.553
0.807,1.531,1.546
0.808,1.527,1.558
0.809,1.535,1.543
0.81,1.53,1.546
0.811,1.52,1.543
0.812,1.515,1.531
0.813,1.514,1.532
0.814,1.515,1.553
0.815,1.511,1.544
0.816,1.515,1.532
0.817,1.513,1.522
0.818,1.502,1.509
0.819,1.508,1.528
0.82,1.497,1.52
0.821,1.499,1.518
0.822,1.493,1.51
0.823,1.489,1.496
0.824,1.49,1.537
0.825,1.489,1.5
0.826,1.49,1.513
0.827,1.487,1.51
0.828,1.487,1.517
0.829,1.47,1.488
0.83,1.48,1.503
0.831,1.461,1.485
0.832,1.468,1.49
0.833,1.475,1.489
0.834,1.465,1.48
0.835,1.454,1.458
0.836,1.46,1.478
0.837,1.461,1.467
0.838,1.462,1.469
0.839,1.454,1.467
0.84,1.447,1.458
0.841,1.441,1.45
0.842,1.439,1.444
0.843,1.441,1.447
0.844,1.437,1.455
0.845,1.432,1.448
0.846,1.434,1.447
0.847,1.435,1.442
0.848,1.423,1.437
0.849,1.419,1.443
0.85,1.426,1.435
0.851,1.418,1.424
0.852,1.413,1.437
0.853,1.417,1.435
0.854,1.407,1.417
0.855,1.406,1.409
0.856,1.405,1.413
0.857,1.4,1.423
0.858,1.396,1.409
0.859,1.392,1.405
0.86,1.388,1.412
0.861,1.385,1.405
0.862,1.386,1.402
0.863,1.386,1.399
0.864,1.389,1.395
0.865,1.381,1.382
0.866,1.377,1.391
0.867,1.379,1.387
0.868,1.369,1.385
0.869,1.366,1.363
0.87,1.371,1.395
0.871,1.368,1.393
0.872,1.358,1.358
0.873,1.362,1.382
0.874,1.36,1.375
0.875,1.351,1.353
0.876,1.356,1.36
0.877,1.346,1.366
0.878,1.353,1.364
0.879,1.341,1.359
0.88,1.342,1.361
0.881,1.333,1.34
0.882,1.337,1.349
0.883,1.329,1.351
0.884,1.329,1.351
0.885,1.331,1.336
0.886,1.323,1.335
0.887,1.323,1.329
0.888,1.319,1.325
0.889,1.308,1.322
0.89,1.318,1.329
0.891,1.308,1.321
0.892,1.314,1.322
0.893,1.31,1.315
0.894,1.299,1.319
0.895,1.308,1.323
0.896,1.297,1.312
0.897,1.298,1.306
0.898,1.292,1.306
0.899,1.291,1.288
0.9,1.287,1.306
